,FWHMx_mm,FWHMy_mm,FWHMz_mm,volume_vox
8502,17.1121,17.8318,15.2731,171368
8503,18.3763,18.5182,16.1292,166679
8504,16.6701,17.3224,14.1568,171368
8505,13.1774,12.6194,10.8091,157647
8506,14.5684,13.933,11.7658,166679
8507,15.1204,15.2258,13.0475,171368
8508,12.2032,12.0221,9.59442,166679
8625,8.32848,8.55055,7.68502,211057
8626,9.37829,9.66047,8.44162,211057
8718,10.8279,10.7987,11.2513,228483
8719,8.76683,8.76233,8.95725,228483
8721,13.1236,13.7803,14.848,228483
8722,13.3082,14.0693,14.8402,228483
8726,12.0767,13.6425,12.2148,210284
8727,15.2835,18.0641,16.2441,210284
8728,15.2331,18.4313,16.0147,210284
8729,13.9092,16.1936,12.4672,210284
8730,13.916,15.7596,12.2811,210284
8731,11.9447,12.4133,11.2167,210284
8732,9.14439,9.8423,8.54175,210284
8733,14.5648,15.9256,14.2085,210284
8734,8.97875,9.25459,8.41984,210284
8735,8.38897,8.44612,8.25796,210284
8736,13.4719,14.5478,13.4642,210284
8737,9.63441,9.76244,9.34977,210284
8738,9.63441,9.76244,9.34977,210284
8739,9.01992,9.67186,8.6753,210284
8740,9.14439,9.8423,8.54175,210284
8741,9.01261,9.38616,8.57527,210284
8742,13.4719,14.5478,13.4642,210284
8743,14.5648,15.9256,14.2085,210284
8745,11.9422,12.4518,11.4696,218720
8746,13.4838,14.9635,12.5838,218720
8747,10.8875,10.9526,10.2594,224965
8748,11.7942,11.7388,11.124,224965
8749,10.0526,10.0554,9.42407,218967
8750,10.6979,11.0643,10.2439,218967
8774,10.6733,10.5635,10.0739,195538
8775,10.6733,10.5635,10.0739,195538
8820,12.1556,12.4596,12.6087,283692
8824,9.82517,10.0223,9.37018,171885
8825,10.1,10.2762,9.2916,171885
8826,9.22187,9.35295,8.87929,171885
8827,10.2256,11.0409,10.3133,171885
8828,8.80542,9.186,8.39402,171885
8836,9.95314,11.1144,9.99085,171885
8837,9.80016,9.83107,8.97858,171885
8838,9.38701,9.94228,9.28468,171885
8839,9.25357,9.4353,8.68093,171885
